,id,rodada_id,pontos,preco,variacao,media,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
3788,100103,22,0.3,0.97,-0.05,0.5,Pedrinho,0.0,"{'FC': 3, 'FD': 1, 'FF': 2, 'FS': 1, 'PE': 1}",ata,ATL,Nulo,0
9788,62033,22,0.3,6.14,0.05,1.77,Fernandão,0.0,"{'CA': 1, 'CV': 1, 'FC': 8, 'FD': 7, 'FF': 15, 'FS': 13, 'G': 3, 'I': 6, 'PE': 13, 'RB': 5}",ata,BAH,Nulo,0
1508,72772,22,0.2,6.19,-2.46,3.17,Luiz Adriano,0.0,"{'A': 1, 'FC': 12, 'FD': 1, 'FF': 3, 'FS': 11, 'G': 2, 'I': 2, 'PE': 8, 'RB': 1}",ata,PAL,Contundido,1
1892,73721,22,0.2,3.72,-0.29,0.47,Marcos Vinícius,1.5,"{'FC': 2, 'FS': 3, 'PE': 2, 'RB': 2}",mei,BOT,Nulo,0
4616,90768,22,0.2,4.72,-0.59,3.47,Fabrício Bruno,2.0,"{'CA': 2, 'FC': 3, 'FF': 1, 'FS': 7, 'PE': 15, 'RB': 9, 'SG': 5}",zag,CRU,Provável,1
5540,87877,22,0.2,4.93,-1.13,2.75,Sornoza,0.0,"{'A': 1, 'CA': 3, 'FC': 15, 'FD': 6, 'FF': 10, 'FS': 16, 'FT': 1, 'I': 1, 'PE': 16, 'RB': 14}",mei,COR,Nulo,0
5672,92496,22,0.2,7.85,-0.48,4.63,Raul,0.0,"{'A': 2, 'CA': 5, 'FC': 35, 'FD': 7, 'FF': 8, 'FS': 47, 'PE': 36, 'RB': 50}",mei,VAS,Dúvida,1
8,50294,22,0.0,3.06,0.0,-1.1,Guilherme,0.0,"{'CA': 2, 'FC': 4, 'FS': 3, 'PE': 6, 'RB': 2}",mei,FLU,Nulo,0
44,50284,22,0.0,4.8,0.0,2.0,Wilson,0.7,"{'DD': 8, 'FS': 1, 'GS': 9, 'PE': 2}",gol,ATL,Dúvida,0
92,50293,22,0.0,6.79,0.0,1.17,Ramires,0.0,"{'FC': 2, 'FF': 1, 'FS': 2, 'PE': 1, 'RB': 2}",mei,PAL,Contundido,1
104,50301,22,0.0,7.34,0.0,1.68,Everton,0.0,"{'A': 2, 'CA': 3, 'FC': 32, 'FD': 3, 'FF': 3, 'FS': 22, 'G': 1, 'I': 7, 'PE': 31, 'RB': 18}",mei,SAO,Contundido,0
116,37657,22,0.0,6.97,0.0,4.7,Edu Dracena,0.0,"{'FC': 3, 'FD': 1, 'FF': 3, 'FS': 2, 'PE': 1, 'RB': 4, 'SG': 2}",zag,PAL,Nulo,1
152,50324,22,0.0,9.46,-0.1,2.46,Hudson,0.0,"{'A': 1, 'CA': 3, 'FC': 25, 'FD': 4, 'FF': 1, 'FS': 10, 'G': 1, 'I': 1, 'PE': 18, 'RB': 22}",mei,SAO,Nulo,0
164,50328,22,0.0,5.0,0.0,0.0,Marcelo Oliveira,0.0,{},zag,GRE,Contundido,1
176,50317,22,0.0,9.26,0.0,4.84,David Braz,-0.1,"{'FC': 8, 'FD': 2, 'FF': 7, 'FS': 1, 'G': 2, 'PE': 14, 'RB': 16, 'SG': 4}",zag,GRE,Dúvida,1
236,51415,22,0.0,4.09,0.0,0.98,Roger Carvalho,0.0,"{'FC': 5, 'FF': 3, 'FS': 3, 'PE': 24, 'RB': 5, 'SG': 2}",zag,FOR,Contundido,1
248,50408,22,0.0,6.0,0.0,0.0,Breno,0.0,{},zag,VAS,Nulo,1
260,50459,22,0.0,6.34,0.0,1.92,Léo,0.0,"{'CA': 1, 'FC': 16, 'FS': 4, 'PE': 15, 'RB': 15, 'SG': 3}",zag,CRU,Contundido,1
272,50877,22,0.0,3.33,0.0,1.3,Pedro Ken,0.0,"{'CA': 2, 'FC': 9, 'FS': 11, 'PE': 6, 'RB': 8}",mei,CEA,Nulo,0
296,51549,22,0.0,3.0,0.0,0.0,Adalberto,-2.8,"{'CA': 1, 'FC': 1, 'PE': 1}",zag,FOR,Nulo,1
308,52618,22,0.0,3.03,0.0,1.9,Anderson Martins,0.0,"{'CA': 5, 'FC': 12, 'FS': 1, 'PE': 12, 'RB': 13, 'SG': 4}",zag,SAO,Nulo,0
320,51413,22,0.0,8.01,0.0,9.63,Walter,0.0,"{'DD': 7, 'FS': 1, 'GS': 1, 'PE': 2, 'SG': 2}",gol,COR,Nulo,0
356,52674,22,0.0,4.05,0.0,1.7,Gilson,5.0,"{'A': 1, 'CA': 3, 'CV': 2, 'FC': 20, 'FF': 1, 'FS': 16, 'PE': 37, 'RB': 19, 'SG': 5}",lat,BOT,Dúvida,0
368,52558,22,0.0,6.11,0.0,1.37,Bruno César,0.0,"{'CA': 1, 'FC': 5, 'FF': 1, 'FS': 12, 'G': 2, 'I': 1, 'PE': 10, 'PP': 1, 'RB': 1}",mei,VAS,Nulo,1
380,52950,22,0.0,6.56,0.0,3.32,Victor,0.0,"{'CA': 1, 'DD': 17, 'GS': 11, 'PE': 7, 'SG': 1}",gol,ATL,Nulo,0
416,37673,22,0.0,4.13,0.0,0.77,Alecsandro,-0.8,"{'CA': 1, 'FC': 16, 'FD': 5, 'FF': 9, 'FS': 6, 'G': 1, 'I': 4, 'PE': 14, 'PP': 1, 'RB': 3}",ata,CSA,Provável,1
464,60791,22,0.0,3.15,0.0,-0.5,Derley,0.0,"{'CA': 1, 'FC': 1, 'RB': 1}",mei,FOR,Nulo,1
548,63172,22,0.0,4.0,0.0,0.0,Paulão,3.2,"{'FC': 1, 'FD': 1, 'FS': 1, 'PE': 2, 'RB': 3, 'SG': 1}",zag,FOR,Nulo,1
560,38001,22,0.0,2.08,0.0,-1.0,Anderson,0.0,"{'DD': 1, 'GS': 2}",gol,BAH,Nulo,0
608,63178,22,0.0,5.3,0.0,1.39,Didira,0.0,"{'CA': 3, 'FC': 14, 'FD': 2, 'FF': 3, 'FS': 14, 'PE': 21, 'RB': 17}",mei,CSA,Contundido,1
632,63082,22,0.0,2.22,0.0,-0.67,Rodolfo,0.0,"{'DD': 7, 'FS': 1, 'GS': 12, 'PE': 5}",gol,FLU,Suspenso,0
668,63354,22,0.0,6.3,0.0,4.46,Rodrigo Moledo,0.0,"{'CA': 1, 'FC': 3, 'FD': 2, 'FF': 1, 'FS': 2, 'G': 1, 'PE': 5, 'RB': 12, 'SG': 3}",zag,INT,Contundido,0
704,63422,22,0.0,8.0,0.0,0.0,Jucilei,0.0,{},mei,SAO,Nulo,0
716,71162,22,0.0,4.6,-0.39,3.11,Vinícius,1.7,"{'A': 2, 'CA': 2, 'FC': 10, 'FD': 10, 'FF': 12, 'FS': 15, 'FT': 1, 'G': 2, 'I': 1, 'PE': 53, 'RB': 12}",mei,ATL,Nulo,0
728,68696,22,0.0,4.41,0.0,1.36,Bergson,11.5,"{'CA': 1, 'FC': 12, 'FD': 10, 'FF': 11, 'FS': 16, 'G': 1, 'I': 6, 'PE': 13, 'RB': 4}",ata,CEA,Nulo,0
740,68698,22,0.0,7.02,0.0,2.8,Bruno Silva,-0.3,"{'CA': 3, 'FC': 18, 'FD': 2, 'FF': 2, 'FS': 13, 'I': 1, 'PE': 19, 'RB': 20}",mei,INT,Nulo,0
752,68727,22,0.0,6.02,0.0,2.95,Dodô,0.0,"{'CA': 1, 'FC': 16, 'FD': 3, 'FF': 2, 'FS': 5, 'FT': 1, 'I': 1, 'PE': 29, 'RB': 16, 'SG': 4}",lat,CRU,Nulo,1
764,71233,22,0.0,9.0,0.0,0.0,Guarín,0.0,{},mei,VAS,Nulo,1
788,79702,22,0.0,6.13,0.0,2.16,Antônio Carlos ,0.0,"{'CA': 2, 'FC': 7, 'FS': 2, 'PE': 8, 'RB': 6, 'SG': 3}",zag,PAL,Nulo,1
824,71479,22,0.0,4.16,0.0,0.69,Lucho González,-0.3,"{'CA': 1, 'FC': 16, 'FD': 2, 'FF': 6, 'FS': 3, 'G': 1, 'PE': 19, 'RB': 4}",mei,ATL,Dúvida,0
836,68773,22,0.0,3.78,0.0,2.57,Henrique Almeida,4.8,"{'CA': 1, 'FC': 4, 'FD': 3, 'FF': 8, 'FS': 5, 'PE': 3, 'RB': 5}",ata,CHA,Nulo,0
848,68770,22,0.0,4.3,0.0,1.2,Camacho,0.0,"{'FC': 1, 'FS': 1, 'PE': 1, 'RB': 1}",mei,ATL,Suspenso,0
860,79887,22,0.0,4.0,0.0,0.0,Fabiano,0.0,{},lat,PAL,Nulo,1
884,82407,22,0.0,3.68,0.0,0.65,Chico,0.0,"{'CA': 1, 'FC': 14, 'FD': 1, 'FF': 1, 'FS': 8, 'PE': 7, 'RB': 6}",mei,CEA,Nulo,0
896,68821,22,0.0,4.68,0.0,5.9,Rafael Galhardo,10.4,"{'A': 2, 'FC': 6, 'FD': 3, 'FF': 2, 'FS': 5, 'G': 2, 'I': 1, 'PE': 20, 'RB': 12, 'SG': 4}",lat,GRE,Dúvida,1
908,71680,22,0.0,1.76,0.0,-0.02,Raúl Cáceres,0.0,"{'CA': 1, 'FC': 11, 'FD': 1, 'FS': 1, 'I': 1, 'PE': 6, 'RB': 2, 'SG': 1}",lat,VAS,Nulo,1
