,id,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
402,91151,Everaldo ,0.0,"{'A': 1, 'CA': 2, 'FC': 15, 'FD': 2, 'FF': 8, 'FS': 15, 'G': 1, 'I': 3, 'PE': 7, 'RB': 8}",ata,COR,Contundido,0
403,91242,Leandro Barcia,1.7,"{'A': 1, 'CA': 5, 'FC': 35, 'FD': 9, 'FF': 16, 'FS': 25, 'FT': 1, 'G': 4, 'I': 3, 'PE': 31, 'RB': 20}",ata,GOI,Provável,1
404,101597,Ramon,0.0,{},lat,FLA,Nulo,0
405,101592,Matheus Dantas,0.0,"{'FS': 1, 'I': 1, 'PE': 2}",zag,FLA,Nulo,0
406,99459,Jean,0.0,{},mei,AVA,Nulo,1
407,86519,Everton Felipe,0.4,"{'CA': 1, 'FC': 3, 'FD': 1, 'FF': 3, 'FS': 10, 'PE': 12, 'RB': 3}",mei,ATL,Nulo,0
408,86444,Pablo Dyego,0.0,"{'FC': 2, 'FS': 1, 'PE': 1, 'RB': 2}",ata,FLU,Contundido,0
409,86410,Victor Luis,0.0,"{'FC': 5, 'FF': 1, 'PE': 3, 'RB': 2}",lat,PAL,Nulo,1
410,91201,Pepê,15.4,"{'A': 1, 'CA': 1, 'FC': 10, 'FD': 6, 'FF': 12, 'FS': 14, 'G': 5, 'I': 7, 'PE': 29, 'RB': 10}",ata,GRE,Dúvida,1
411,101596,Vitor Gabriel,0.0,{},ata,FLA,Nulo,0
412,101601,Caio,0.0,"{'CA': 1, 'FC': 2, 'FF': 1, 'PE': 1}",mei,FLU,Nulo,0
413,86711,Richard,1.4,"{'CA': 4, 'FC': 21, 'FD': 2, 'FF': 4, 'FS': 21, 'PE': 24, 'RB': 28}",mei,VAS,Provável,1
414,86686,Tchê Tchê,3.1,"{'CA': 5, 'FC': 29, 'FD': 8, 'FF': 12, 'FS': 31, 'G': 1, 'I': 1, 'PE': 51, 'RB': 28}",mei,SAO,Provável,0
415,91251,Rodriguez,0.0,"{'A': 1, 'FC': 2, 'FF': 1, 'FS': 1, 'I': 2, 'PE': 11, 'RB': 14, 'SG': 3}",zag,GRE,Nulo,1
416,86766,Matheus Rossetto,0.0,"{'CA': 2, 'FC': 11, 'FS': 3, 'PE': 15, 'RB': 9}",mei,ATL,Nulo,0
417,86740,João Lucas,6.2,"{'CA': 1, 'FC': 10, 'FD': 5, 'FF': 4, 'FS': 8, 'G': 1, 'GC': 1, 'I': 4, 'PE': 44, 'RB': 24, 'SG': 4}",lat,CEA,Provável,0
418,101606,Evanilson,0.0,{},ata,FLU,Nulo,0
419,91733,Felipe,6.0,"{'A': 1, 'CA': 8, 'FC': 42, 'FD': 2, 'FF': 3, 'FS': 19, 'PE': 70, 'RB': 61}",mei,FOR,Provável,1
420,101708,Felipe Jonatan,0.0,"{'FC': 11, 'FD': 7, 'FF': 6, 'FS': 8, 'G': 2, 'I': 1, 'PE': 28, 'RB': 8, 'SG': 6}",lat,SAN,Nulo,1
421,86770,João Paulo,-2.3,"{'CA': 5, 'FC': 34, 'FD': 6, 'FF': 10, 'FS': 30, 'G': 2, 'PE': 56, 'RB': 32}",mei,AVA,Nulo,1
422,86749,Felipe Ferreira,1.9,"{'FC': 1, 'FD': 1, 'FF': 1, 'FS': 2, 'PE': 2}",mei,VAS,Nulo,1
423,86797,Raniel,0.0,"{'A': 1, 'CA': 2, 'CV': 1, 'FC': 11, 'FD': 6, 'FF': 8, 'FS': 13, 'FT': 1, 'G': 1, 'GC': 1, 'I': 3, 'PE': 12, 'RB': 5}",ata,SAO,Nulo,0
424,101622,Lucas Barcelos,0.0,{},ata,FLU,Nulo,0
425,86776,Jordi,-2.0,"{'CA': 4, 'DD': 57, 'DP': 2, 'FC': 3, 'FS': 3, 'GS': 33, 'PE': 15, 'SG': 8}",gol,CSA,Dúvida,1
426,86759,Luan,9.8,"{'A': 6, 'FC': 11, 'FD': 8, 'FF': 14, 'FS': 34, 'FT': 1, 'G': 4, 'I': 3, 'PE': 53, 'RB': 16}",ata,GRE,Provável,1
427,86757,Everton,0.0,"{'A': 4, 'CA': 3, 'FC': 11, 'FD': 8, 'FF': 15, 'FS': 12, 'FT': 1, 'G': 8, 'PE': 30, 'RB': 24}",ata,GRE,Dúvida,1
428,101647,Ulisses,0.0,{},zag,VAS,Nulo,1
429,101626,Xandão,0.0,{},zag,BAH,Nulo,0
430,86842,Ewandro,0.0,"{'CA': 1, 'FC': 1}",ata,FLU,Nulo,0
431,86859,José Welison,0.0,"{'CA': 2, 'FC': 9, 'FF': 5, 'FS': 5, 'PE': 14, 'RB': 16}",mei,ATL,Provável,0
432,101679,Ricardo Verza,0.0,{},ata,GOI,Nulo,1
433,86973,Leonardo,0.0,"{'CA': 2, 'FC': 9, 'FD': 4, 'FF': 3, 'FS': 1, 'PE': 18, 'RB': 7, 'SG': 4}",lat,GRE,Contundido,1
434,91260,Lucas Perri,0.0,{},gol,SAO,Nulo,0
435,86972,Emerson Santos,0.0,"{'CA': 3, 'FC': 13, 'FD': 2, 'FS': 3, 'G': 1, 'I': 1, 'PE': 22, 'RB': 13, 'SG': 4}",zag,INT,Nulo,0
436,86890,Willian Popp,-1.8,"{'FC': 2, 'I': 1, 'PE': 1}",ata,CEA,Provável,0
